age,repo_num,follower_num,commit_comment_num,commit_num,issue_comment_num,issue_event_num,issue_number,org_number,pr_comment_num,pr_num,collaborator_num
1630,4,1,0,0,8,8,2,0,0,0,0
951,28,6,0,6,10,6,4,1,0,5,0
974,54,8,0,45,49,47,31,0,10,30,0
1145,11,15,0,1,0,2,1,3,0,1,0
1359,4,1,0,0,6,12,4,1,0,0,0
1884,6,0,0,0,2,0,0,0,0,0,0
238,1,0,0,0,1,2,1,0,0,0,0
1244,14,2,0,1,0,1,2,0,0,1,0
8,1,0,0,0,0,0,1,0,0,0,0
1657,30,88,0,59,353,317,47,4,91,23,0
1263,97,41,0,43,47,79,37,1,3,27,0
516,11,2,0,4,33,17,10,1,0,3,0
836,34,14,0,73,394,430,67,0,40,38,0
657,2,0,0,0,6,7,0,1,0,0,0
257,0,0,0,0,1,2,0,0,0,0,0
1467,44,23,0,6,18,31,5,1,0,3,0
688,8,2,0,0,14,13,5,0,0,0,0
676,20,7,0,0,3,6,3,0,0,0,0
506,52,7,0,83,206,202,75,1,72,62,0
689,0,6,0,0,12,9,2,1,0,0,0
570,2,0,0,0,0,0,0,1,0,0,0
113,0,0,0,0,3,3,2,0,0,0,0
180,0,0,0,0,1,0,0,0,0,0,0
838,2,1,0,2,16,17,6,1,0,2,0
672,2,1,0,5,16,20,6,0,0,1,0
1379,23,12,0,2,0,0,1,2,0,1,0
951,46,27,0,31,55,35,18,0,21,13,0
1511,28,78,0,0,4,2,1,1,0,0,0
827,38,9,0,10,77,51,9,2,51,9,0
639,30,16,0,35,20,40,7,4,10,4,0
280,0,1,0,0,0,4,0,1,0,0,0
613,17,20,0,21,118,81,22,1,17,11,0
1195,0,0,0,0,0,2,0,0,0,0,0
706,28,15,0,2,20,12,6,0,3,3,0
356,7,20,0,0,3,4,0,0,0,0,0
916,23,4,0,0,2,0,0,1,0,0,0
814,18,9,0,0,4,6,3,0,3,1,0
137,2,0,0,0,2,5,2,0,0,0,0
1023,25,3,0,1,6,8,3,1,0,0,0
655,7,9,0,1,2,5,1,0,0,1,0
402,0,0,0,0,6,1,0,0,0,0,0
597,4,0,0,0,2,0,0,0,0,0,0
1624,28,161,0,10,33,37,9,2,6,4,0
1526,26,10,0,0,4,2,1,1,0,0,0
1632,46,61,0,210,685,1156,154,1,596,153,0
1458,66,21,0,34,80,63,18,2,33,13,0
1375,4,6,0,2,5,5,2,1,0,1,0
1331,36,37,0,0,5,2,0,5,0,0,0
1112,20,22,0,0,2,0,0,3,0,0,0
121,1,1,0,3,1,3,1,1,1,1,0
1905,57,39,0,68,190,156,32,1,23,23,0
848,81,11,0,0,1,2,1,1,0,0,0
1132,62,430,0,389,653,1256,136,2,107,97,1
549,5,1,0,2,4,5,1,0,0,1,0
392,0,0,0,0,1,0,1,0,0,0,0
343,2,0,0,4,6,9,11,0,0,4,0
618,16,0,0,2,10,11,5,0,0,1,0
1537,48,86,0,9,4,6,4,1,0,3,0
516,20,25,0,15,10,7,5,0,1,4,0
1567,8,79,0,11,9,22,2,0,5,1,0
760,33,2,0,0,4,0,2,1,0,1,0
1181,45,11,0,4,11,15,8,2,3,1,0
1343,31,0,0,0,1,0,0,0,0,0,0
494,12,1,0,0,5,1,2,0,0,0,0
33,5,0,0,1,2,0,4,0,0,1,0
820,7,0,0,1,1,4,1,0,0,1,0
621,4,0,0,0,1,0,1,0,0,0,0
1139,20,2,0,2,12,18,4,0,2,2,0
766,10,3,0,0,2,1,1,0,0,0,0
262,1,0,0,0,1,0,1,0,0,0,0
597,44,8,0,12,247,287,14,2,58,10,0
236,2,1,0,0,2,1,0,0,0,0,0
168,0,0,0,0,2,2,0,0,0,0,0
109,8,0,0,0,1,0,0,0,0,0,0
337,4,0,0,0,20,14,6,0,0,0,0
251,7,0,0,0,3,1,1,0,0,0,0
558,1,0,0,0,0,0,0,0,0,0,0
1067,22,15,0,0,2,5,1,1,1,0,0
1303,12,2,0,0,9,1,5,0,0,3,0
1931,5,57,0,10,54,60,8,2,12,7,0
51,8,0,0,0,10,5,2,1,0,0,0
455,30,5,0,14,86,49,21,0,3,12,0
343,1,3,0,0,2,3,0,0,0,0,0
279,5,0,0,0,22,12,2,0,0,0,0
726,11,1,0,26,29,80,8,0,13,6,0
902,12,2,0,24,18,0,1,0,5,14,0
1043,38,22,0,0,1,0,1,1,0,0,0
554,7,0,0,0,3,3,1,0,0,1,0
353,62,23,0,13,34,50,17,2,1,10,0
478,30,29,0,42,51,75,26,3,19,27,0
352,8,0,0,8,18,19,2,0,4,2,0
1498,7,176,0,10,9,327,8,2,2,6,0
763,14,2,0,0,2,5,1,0,0,0,0
430,27,14,0,1,10,14,3,2,0,1,0
493,65,68,0,67,132,182,34,4,27,31,0
494,31,3,0,40,70,83,34,0,90,29,0
516,4,1,0,0,2,3,3,0,0,0,0
259,6,2,0,2,9,17,3,0,0,1,0
123,0,48,0,0,3782,889,0,0,0,0,0
869,32,338,0,36,71,78,24,1,15,19,0
588,54,28,0,12,7,11,6,1,10,6,0
917,31,23,0,23,3,5,7,0,1,7,0
495,46,8,0,18,32,26,14,3,7,11,0
459,42,4,0,13,33,34,17,0,1,10,0
43,6,0,0,0,6,10,5,0,0,0,0
332,14,1,0,5,4,3,3,2,1,2,0
415,11,1,0,2,6,5,3,2,0,2,0
1075,44,53,0,21,50,55,10,4,7,10,0
936,15,11,0,3,6,13,2,1,22,2,0
382,18,2,0,6,30,18,13,0,0,2,0
947,25,10,0,18,17,60,16,1,4,15,0
381,21,9,0,2,4,5,2,0,0,1,0
530,12,4,0,1,42,37,4,2,0,1,0
665,35,9,0,0,35,17,5,1,0,0,0
171,6,4,0,0,1,6,1,0,0,1,0
418,7,11,0,6,3,0,2,1,9,1,0
12,7,1,0,113,71,11,3,1,23,36,0
613,39,7,0,8,25,30,7,1,34,7,0
1474,150,7,0,0,24,24,10,1,0,0,0
360,20,3,0,44,33,34,19,0,0,13,0
385,3,0,0,1,4,7,4,0,0,1,0
91,0,0,0,0,2,1,1,0,0,0,0
224,55,7,0,11,64,62,9,1,26,6,0
1110,50,7,0,28,30,34,28,0,2,28,0
263,0,0,0,0,0,2,0,0,0,0,0
263,0,0,0,0,0,2,0,0,0,0,0
1480,38,71,0,21,40,15,14,5,0,5,0
838,9,21,0,4,11,3,5,0,0,4,0
613,20,11,0,0,4,4,2,2,0,0,0
766,41,22,0,1,2,4,2,1,0,1,0
