newcomer,age,repo_num,follower_num,commit_comment_num,commit_num,issue_comment_num,issue_event_num,issue_number,org_number,pr_comment_num,pr_num,collaborator_num
False,1700,3,3069,0,7750,4777,21500,224,3,1440,196,1
False,1573,2,496,0,158,141,203,52,5,56,43,0
False,280,1,2,0,13,11,17,6,1,6,5,0
False,1700,3,3069,0,7750,4777,21500,224,3,1440,196,1
False,280,1,2,0,13,11,17,6,1,6,5,0
True,955,0,0,0,0,0,0,1,0,0,0,0
False,888,3,8,0,1,0,1,1,3,0,1,0
False,1597,3,3069,0,7207,4212,19738,168,3,1119,144,1
True,1276,0,3,0,7,3,4,3,1,1,2,0
False,1039,1,34,0,22,45,70,18,1,17,12,0
False,1645,3,3069,0,7350,4352,20247,174,3,1147,149,1
True,1826,0,20,0,0,1261,8,636,0,0,1,0
False,1577,3,3069,0,7134,4192,19530,167,3,1111,143,1
False,1826,0,20,0,0,1261,8,636,0,0,1,0
False,1348,3,4,0,11,89,60,6,0,8,3,0
False,939,2,545,0,284,4397,4252,192,6,3667,127,2
False,1410,2,13,0,11,16,39,12,2,3,9,0
False,1004,1,4,0,2,4,0,0,0,0,3,0
False,939,2,545,0,284,4397,4252,192,6,3667,127,2
False,1410,2,13,0,11,16,39,12,2,3,9,0
False,1574,3,3069,0,7114,4182,19468,167,3,1109,143,1
False,428,0,1,0,0,0,0,0,1,0,0,0
False,588,0,0,0,0,0,0,1,0,0,0,0
False,938,2,545,0,283,4370,4237,190,6,3627,126,2
False,588,0,0,0,0,0,0,1,0,0,0,0
False,1199,2,102,0,67,92,136,34,5,16,32,1
False,1573,3,3069,0,7103,4175,19436,166,3,1087,142,1
True,778,0,4,0,2,11,19,13,0,0,1,0
False,1139,5,144,0,39,130,117,16,7,51,14,0
False,1678,3,3069,0,7528,4500,20832,193,3,1225,166,1
False,778,0,4,0,2,11,19,13,0,0,1,0
False,1678,3,3069,0,7528,4500,20832,193,3,1225,166,1
False,1111,1,90,0,591,1429,1620,263,1,743,233,0
False,1266,2,307,0,288,175,32,3,5,259,54,0
False,1111,1,90,0,591,1429,1620,263,1,743,233,0
False,1266,2,307,0,288,175,32,3,5,259,54,0
False,1111,1,90,0,591,1429,1620,263,1,743,233,0
False,1570,3,3069,0,7068,4157,19355,166,3,1082,142,1
True,1072,1,4,0,0,0,0,1,0,0,0,0
False,1686,3,3069,0,7589,4581,21060,205,3,1257,177,1
False,930,2,545,0,283,4352,4220,190,6,3600,126,2
False,1565,3,3069,0,7022,4149,19256,163,3,1064,139,1
False,827,0,19,0,0,0,0,1,3,0,0,0
False,1606,3,3069,0,7242,4221,19839,168,3,1122,144,1
False,1508,11,125,0,194,216,237,72,3,188,73,0
False,1606,3,3069,0,7242,4221,19839,168,3,1122,144,1
False,1286,0,1,0,1,5,2,0,0,0,1,0
False,106,0,0,0,0,1,0,2,0,0,0,0
False,1416,1,52,0,380,277,316,79,6,313,77,1
False,1636,3,3069,0,7327,4342,20179,174,3,1144,149,1
False,1416,1,52,0,380,277,316,79,6,313,77,1
False,1460,8,125,0,176,193,203,65,3,166,66,0
False,1184,2,102,0,63,78,123,33,5,16,31,1
False,923,2,545,0,283,4330,4205,189,6,3580,126,2
False,524,1,4,0,61,67,58,13,0,12,10,0
False,524,1,4,0,61,67,58,13,0,12,10,0
False,1184,2,102,0,63,78,123,33,5,16,31,1
False,1558,3,3069,0,6950,4090,19008,153,3,1046,130,1
True,397,0,0,0,0,1,0,1,0,0,0,0
False,1559,3,3069,0,6959,4099,19045,154,3,1046,131,1
True,1186,1,2,0,11,2,6,2,0,8,1,0
False,1646,3,3069,0,7356,4352,20273,174,3,1147,149,1
False,1646,3,3069,0,7356,4352,20273,174,3,1147,149,1
False,1085,0,3,0,0,5,4,1,0,0,0,0
False,1155,3,153,0,158,186,241,67,2,54,70,0
False,1608,3,3069,0,7253,4226,19869,168,3,1122,144,1
False,1608,3,3069,0,7253,4226,19869,168,3,1122,144,1
True,470,0,2,0,0,4,0,1,0,0,0,0
False,1554,3,3069,0,6793,3980,18568,143,3,1015,120,1
False,1015,5,144,0,31,106,101,13,7,49,11,0
False,434,0,2,0,0,0,0,1,0,0,0,0
False,390,0,2,0,0,1,0,0,0,0,0,0
False,1567,3,3069,0,7038,4151,19283,163,3,1064,139,1
False,829,1,8,0,1,4,7,3,1,0,2,0
False,829,1,8,0,1,4,7,3,1,0,2,0
False,1546,3,3069,0,6719,3923,18307,141,3,982,118,1
False,1801,0,20,0,0,1248,8,634,0,0,1,0
False,1801,0,20,0,0,1248,8,634,0,0,1,0
False,1552,3,3069,0,6772,3970,18503,143,3,1004,120,1
False,842,0,1,0,0,0,0,1,0,0,0,0
False,1661,3,447,0,206,289,463,51,4,58,34,1
False,1552,3,3069,0,6772,3970,18503,143,3,1004,120,1
False,24,0,0,0,0,0,0,1,0,0,0,0
False,1567,3,3069,0,7038,4151,19283,163,3,1064,139,1
True,308,0,0,0,0,1,4,4,0,0,0,0
False,1743,1,6,0,1,0,1,1,0,0,1,0
False,791,3,33,0,338,866,957,183,1,821,151,1
False,1743,1,6,0,1,0,1,1,0,0,1,0
False,791,3,33,0,338,866,957,183,1,821,151,1
True,343,0,0,0,0,1,0,1,0,0,0,0
False,911,2,545,0,280,4218,4108,187,6,3508,124,2
False,343,0,0,0,0,1,0,1,0,0,0,0
False,1546,3,3069,0,6719,3923,18307,141,3,982,118,1
False,369,0,5,0,0,2,2,0,0,0,0,0
False,1546,3,3069,0,6719,3923,18307,141,3,982,118,1
False,911,2,545,0,280,4218,4108,187,6,3508,124,2
False,374,0,0,0,0,0,2,0,1,0,0,0
False,1646,3,3069,0,7356,4352,20273,174,3,1147,149,1
True,496,0,4,0,0,7,10,5,1,0,0,0
False,1546,3,3069,0,6719,3923,18307,141,3,982,118,1
False,333,0,3,0,0,0,1,1,1,0,0,0
False,828,1,27,0,24,65,50,12,3,9,8,0
False,1555,3,3069,0,6855,4031,18710,147,3,1024,124,1
False,828,1,27,0,24,65,50,12,3,9,8,0
False,1555,3,3069,0,6855,4031,18710,147,3,1024,124,1
False,646,0,9,0,3,76,45,26,2,10,2,0
False,1567,3,3069,0,7038,4151,19283,163,3,1064,139,1
False,1546,3,3069,0,6719,3923,18307,141,3,982,118,1
False,1321,1,50,0,39,13,17,11,1,1,5,0
False,418,1,0,0,11,8,5,4,0,0,4,0
False,1699,3,3069,0,7720,4720,21379,218,3,1398,190,1
True,487,0,0,0,0,1,0,1,0,0,0,0
False,864,1,1,0,5,15,13,2,0,0,2,0
False,487,0,0,0,0,1,0,1,0,0,0,0
False,1546,3,3069,0,6719,3923,18307,141,3,982,118,1
True,278,0,0,0,0,0,0,1,0,0,0,0
False,1545,3,3069,0,6712,3912,18276,141,3,976,118,1
False,832,0,1,0,0,0,0,1,0,0,0,0
False,901,0,1,0,0,0,19,0,0,0,0,0
False,40,0,0,0,0,0,4,0,0,0,0,0
False,1542,3,3069,0,6698,3900,18217,141,3,966,118,1
True,250,1,3,0,16,10,6,7,0,6,6,0
False,1426,1,52,0,386,303,339,81,6,318,79,1
False,250,1,3,0,16,10,6,7,0,6,6,0
False,872,1,14,0,0,5,4,1,9,0,0,0
False,893,1,12,0,111,388,391,69,0,89,58,0
