result,newcomer,age,repo_num,follower_num,commit_comment_num,commit_num,issue_comment_num,issue_event_num,issue_number,org_number,pr_comment_num,pr_num,collaborator_num
1,0,1.5849625007211563,0.0,0,0,7.584962500721156,9.847057346091336,9.714245517666123,6.7414669864011465,3.0,8.038918989292302,6.22881869049588,0
0,0,2.321928094887362,0,0,0,0,10.32755264408124,3.8073549220576037,9.377210530388552,0,0,0.0,0
0,0,0.0,0.0,0,0,3.1699250014423126,1.5849625007211563,1.5849625007211563,2.0,0,0,2.0,0
1,0,1.0,1.0,0,0,8.169925001442312,12.244066464194818,12.168045268224091,7.643856189774724,2.584962500721156,12.08613622502731,7.011227255423254,1.0
0,0,0.0,0.0,0,0,3.1699250014423126,1.5849625007211563,1.5849625007211563,2.0,0,0,2.0,0
0,0,2.321928094887362,0,0,0,0,10.32755264408124,3.8073549220576037,9.377210530388552,0,0,0.0,0
0,0,0.0,0.0,0,0,3.1699250014423126,1.5849625007211563,1.5849625007211563,2.0,0,0,2.0,0
0,0,0.0,0,0,0,0,1.5849625007211563,2.0,0.0,0,0,0,0
0,0,0.0,0,0,0,0,1.5849625007211563,2.0,0.0,0,0,0,0
1,0,1.5849625007211563,0.0,0,0,9.207014320177533,10.485829308701906,10.673309075561695,8.05528243550119,0.0,9.537218400538597,7.86418614465428,0
1,0,1.0,1.0,0,0,6.39231742277876,7.636624620543649,7.294620748891627,5.614709844115208,2.0,7.257387842692652,5.20945336562895,0
1,0,1.0,1.0,0,0,6.39231742277876,7.636624620543649,7.294620748891627,5.614709844115208,2.0,7.257387842692652,5.20945336562895,0
1,0,1.0,1.0,0,0,6.39231742277876,7.636624620543649,7.294620748891627,5.614709844115208,2.0,7.257387842692652,5.20945336562895,0
1,0,1.5849625007211563,1.0,0,0,7.05528243550119,7.636624620543649,7.787902559391432,6.08746284125034,2.321928094887362,6.845490050944376,6.022367813028454,0.0
1,0,1.0,1.0,0,0,6.39231742277876,7.636624620543649,7.294620748891627,5.614709844115208,2.0,7.257387842692652,5.20945336562895,0
0,1,0.4328767123287671,0,0,0,0,0,0,0.0,0,0,0,0
0,0,2.321928094887362,0.0,0,0,2.584962500721156,1.5849625007211563,2.321928094887362,2.0,0.0,1.0,1.5849625007211563,0
0,0,0.0,0.0,0,0,0,2.0,1.5849625007211563,2.584962500721156,0,0,1.0,0
0,0,0.038356164383561646,0,0,0,0,0,2.0,0.0,0,0,0,0
1,0,1.5849625007211563,0.0,0,0,8.625708843064466,8.366322214245816,8.46352437327118,6.426264754702098,2.584962500721156,8.312882955284357,6.39231742277876,0.0
0,0,0.038356164383561646,0,0,0,0,0,2.0,0.0,0,0,0,0
0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0
0,0,0.0,0,0,0,0,2.0,0,0,0,0,0,0
0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0
0,0,1.0,0.0,0,0,4.321928094887363,3.0,3.0,3.1699250014423126,0,0.0,3.0,0
0,0,1.0,0.0,0,0,4.321928094887363,3.0,3.0,3.1699250014423126,0,0.0,3.0,0
0,0,0.0,1.5849625007211563,0,0,2.321928094887362,3.700439718141092,4.08746284125034,2.807354922057604,0,0,2.321928094887362,0
0,0,0.0,1.5849625007211563,0,0,2.321928094887362,3.700439718141092,4.08746284125034,2.807354922057604,0,0,2.321928094887362,0
0,0,1.0,0.0,0,0,4.321928094887363,3.0,3.0,3.1699250014423126,0,0.0,3.0,0
0,0,1.0,0,0,0,1.0,4.08746284125034,4.247927513443585,3.700439718141092,0,0,0.0,0
0,0,1.0,0,0,0,1.0,4.08746284125034,4.247927513443585,3.700439718141092,0,0,0.0,0
0,0,1.0,0.0,0,0,1.0,5.906890595608519,4.857980995127573,2.807354922057604,0.0,3.3219280948873626,0.0,0
0,0,0.0,0.0,0,0,2.321928094887362,4.321928094887363,4.523561956057013,0.0,0,0.0,0.0,0
1,0,1.0,1.0,0,0,8.159871336778389,12.234817431117323,12.166476950816804,7.643856189774724,2.584962500721156,12.078484417411449,7.011227255423254,1.0
0,0,2.0,0,0,0,0,0.0,0,0,0,0,0,0
0,0,1.0,0,0,0,1.0,4.08746284125034,4.247927513443585,3.700439718141092,0,0,0.0,0
0,0,0.0,0.0,0,0,2.321928094887362,4.321928094887363,4.523561956057013,0.0,0,0.0,0.0,0
1,0,1.0,1.0,0,0,8.159871336778389,12.234817431117323,12.166476950816804,7.643856189774724,2.584962500721156,12.078484417411449,7.011227255423254,1.0
0,0,2.0,0,0,0,0,0.0,0,0,0,0,0,0
0,0,0.0,0.0,0,0,3.0,3.3219280948873626,1.0,2.0,0.0,0,1.0,0
0,0,0.0,0.0,0,0,3.0,3.3219280948873626,1.0,2.0,0.0,0,1.0,0
0,0,1.0,0.0,0,0,1.5849625007211563,1.5849625007211563,1.0,1.5849625007211563,0,0,1.0,0
0,0,0.22465753424657534,0,0,0,0,1.5849625007211563,0,0.0,0,0,0,0
0,0,1.0,0.0,0,0,1.5849625007211563,1.5849625007211563,1.0,1.5849625007211563,0,0,1.0,0
0,0,0.0,0,0,0,0,1.0,0,0,0.0,0,0,0
0,0,1.0,0.0,0,0,1.5849625007211563,1.5849625007211563,1.0,1.5849625007211563,0,0,1.0,0
0,0,0.7013698630136986,0,0,0,0,1.0,2.0,0.0,0,0,0,0
0,0,0.9808219178082191,0,0,0,0,0.0,0.0,0.0,0,0,0,0
0,0,0.0,0,0,0,0,0.0,2.0,0.0,0,0,0,0
