result,newcomer,age,repos,commit_comments,commits,issue_comments,issue_events,issues,pr_comments,prs
1,1,1.4767,0.30102999566398114,0,1.6627578316815739,2.045322978786657,2.049218022670181,1.556302500767287,2.093421685162235,1.414973347970818
0,1,3.4932,0.47712125471966244,2.2855573090077734,3.9376683143990046,3.633872262658332,4.302417519150622,2.2304489213782737,3.054229909863397,2.1643528557844367
0,1,3.4575,0.47712125471966244,2.2855573090077734,3.9362623419034777,3.631240780235509,4.300812794118117,2.2304489213782737,3.050766311233042,2.1643528557844367
0,1,3.3205,0.47712125471966244,2.2855573090077734,3.9195487589688476,3.617524534886292,4.283369081915453,2.2121876044039577,3.0257153839013404,2.143014800254095
1,1,1.7123,0.0,0,0.47712125471966244,0.47712125471966244,1.0,0.30102999566398114,0.47712125471966244,0.30102999566398114
0,1,3.2767,0.47712125471966244,2.278753600952829,3.902655475217925,3.597036664977653,4.265666699452483,2.1492191126553797,2.9960736544852753,2.0718820073061255
0,1,3.1233,0.47712125471966244,2.276461804173244,3.874133778827972,3.566201718854913,4.2326149831347815,2.086359830674748,2.932473764677153,2.0
1,1,1.7753,0.6989700043360187,0.47712125471966244,1.3979400086720375,1.9822712330395682,1.9822712330395682,1.0791812460476247,1.5682017240669948,1.0
0,1,3.0712,0.47712125471966244,2.271841606536499,3.8650447216930988,3.553033016202439,4.221048911692895,2.02530586526477,2.9138138523837163,1.9242792860618814
0,1,2.926,0.47712125471966244,2.2227164711475833,3.836197480778925,3.5014700721004117,4.170173673806271,1.8260748027008262,2.7951845896824237,1.6901960800285134
0,1,2.7918,0.47712125471966244,2.2013971243204513,3.8148466686044626,3.469674772551798,4.140853581322722,1.6434526764861872,2.736396502276642,1.4913616938342726
0,1,3.6712,0.47712125471966244,2.2988530764097064,3.957032316346938,3.6666115684190297,4.326151451483546,2.322219294733919,3.142389466118836,2.2600713879850747
0,1,3.3644,0.47712125471966244,2.2855573090077734,3.927985947099428,3.623352681537992,4.29165739610218,2.2253092817258624,3.0472748673841794,2.1583624920952493
0,1,3.3562,0.47712125471966244,2.2855573090077734,3.9272676808108815,3.62242127397567,4.290702243287853,2.2227164711475833,3.0457140589408676,2.1553360374650614
0,1,3.3315,0.47712125471966244,2.2855573090077734,3.9226735678585536,3.618571028120129,4.286299250942829,2.2121876044039577,3.026941627959029,2.143014800254095
0,1,3.2932,0.47712125471966244,2.278753600952829,3.9057419273916008,3.599883072073687,4.26876512744786,2.1553360374650614,3.0064660422492313,2.0791812460476247
0,1,3.2822,0.47712125471966244,2.278753600952829,3.9029270960172626,3.5981336458132374,4.266208169807691,2.1492191126553797,2.997386384397313,2.0718820073061255
0,1,3.2712,0.47712125471966244,2.278753600952829,3.9010767157262545,3.5936183081295354,4.262617181538574,2.1492191126553797,2.9921114877869495,2.0718820073061255
1,1,0.5096,0.0,0,0.0,0.6020599913279623,0.8450980400142567,0.47712125471966244,0,0.30102999566398114
0,1,3.2712,0.47712125471966244,2.278753600952829,3.9010767157262545,3.5936183081295354,4.262617181538574,2.1492191126553797,2.9921114877869495,2.0718820073061255
0,1,3.2548,0.47712125471966244,2.278753600952829,3.896636430529584,3.590172831596314,4.258565453000081,2.1492191126553797,2.978636948384474,2.0718820073061255
0,1,3.2521,0.47712125471966244,2.278753600952829,3.8963057074660803,3.5900612308037423,4.2580862843279785,2.1492191126553797,2.978636948384474,2.0718820073061255
0,1,3.2438,0.47712125471966244,2.278753600952829,3.896250562461638,3.5900612308037423,4.257894468730799,2.1492191126553797,2.978636948384474,2.0718820073061255
0,1,3.2411,0.47712125471966244,2.278753600952829,3.895035597452322,3.5895027962637633,4.257054277944658,2.1492191126553797,2.976349979003273,2.0718820073061255
0,1,3.2082,0.47712125471966244,2.278753600952829,3.8867162741164774,3.5781806096277777,4.2493940516523505,2.1271047983648073,2.9552065375419416,2.049218022670181
1,1,2.1397,0.30102999566398114,0.6020599913279623,2.1553360374650614,2.021189299069938,2.1986570869544226,1.6901960800285134,1.3424226808222062,1.6127838567197355
0,1,3.1671,0.47712125471966244,2.276461804173244,3.879841055986562,3.5726392970428127,4.240474363467878,2.107209969647868,2.9434945159061026,2.02530586526477
0,1,2.8219,0.47712125471966244,1.8920946026904801,2.397940008672037,2.8555191556677997,2.9652017010259115,2.173186268412274,2.2278867046136734,2.1139433523068365
0,1,3.1644,0.47712125471966244,2.276461804173244,3.879841055986562,3.5726392970428127,4.240374496958233,2.107209969647868,2.9434945159061026,2.02530586526477
0,1,3.1616,0.47712125471966244,2.276461804173244,3.879841055986562,3.5726392970428127,4.240374496958233,2.107209969647868,2.9434945159061026,2.02530586526477
0,1,3.1534,0.47712125471966244,2.276461804173244,3.8783494222177755,3.571825249040829,4.238848680362336,2.103803720955957,2.9395192526186182,2.021189299069938
0,1,3.1425,0.47712125471966244,2.276461804173244,3.8772561331135855,3.5699588180965933,4.237242039984229,2.103803720955957,2.9365137424788927,2.021189299069938
0,1,3.1315,0.47712125471966244,2.276461804173244,3.875813388839757,3.5689054149828787,4.235250611584401,2.103803720955957,2.9350031514536545,2.021189299069938
0,1,3.126,0.47712125471966244,2.276461804173244,3.8751191654625683,3.5684364144168854,4.234010817587179,2.1003705451175625,2.932980821923198,2.0170333392987803
