age,repo_num,follower_num,commit_num,issue_comment_num,issue_event_num,issue_number,org_number,pr_comment_num,pr_num
951,46,27,31,55,35,18,0,21,13
1511,28,78,0,4,2,1,1,0,0
827,38,9,10,77,51,9,2,51,9
639,30,16,35,20,40,7,4,10,4
280,0,1,0,0,4,0,1,0,0
613,17,20,21,118,81,22,1,17,11
1195,0,0,0,0,2,0,0,0,0
706,28,15,2,20,12,6,0,3,3
356,7,20,0,3,4,0,0,0,0
916,23,4,0,2,0,0,1,0,0
814,18,9,0,4,6,3,0,3,1
137,2,0,0,2,5,2,0,0,0
1023,25,3,1,6,8,3,1,0,0
655,7,9,1,2,5,1,0,0,1
402,0,0,0,6,1,0,0,0,0
597,4,0,0,2,0,0,0,0,0
1624,28,161,10,33,37,9,2,6,4
1526,26,10,0,4,2,1,1,0,0
1632,46,61,210,685,1156,154,1,596,153
1458,66,21,34,80,63,18,2,33,13
1375,4,6,2,5,5,2,1,0,1
1331,36,37,0,5,2,0,5,0,0
1112,20,22,0,2,0,0,3,0,0
121,1,1,3,1,3,1,1,1,1
1905,57,39,68,190,156,32,1,23,23
848,81,11,0,1,2,1,1,0,0
1132,62,430,389,653,1256,136,2,107,97
549,5,1,2,4,5,1,0,0,1
392,0,0,0,1,0,1,0,0,0
343,2,0,4,6,9,11,0,0,4
618,16,0,2,10,11,5,0,0,1
1537,48,86,9,4,6,4,1,0,3
516,20,25,15,10,7,5,0,1,4
1567,8,79,11,9,22,2,0,5,1
760,33,2,0,4,0,2,1,0,1
1181,45,11,4,11,15,8,2,3,1
1343,31,0,0,1,0,0,0,0,0
494,12,1,0,5,1,2,0,0,0
33,5,0,1,2,0,4,0,0,1
820,7,0,1,1,4,1,0,0,1
621,4,0,0,1,0,1,0,0,0
1139,20,2,2,12,18,4,0,2,2
766,10,3,0,2,1,1,0,0,0
262,1,0,0,1,0,1,0,0,0
597,44,8,12,247,287,14,2,58,10
236,2,1,0,2,1,0,0,0,0
168,0,0,0,2,2,0,0,0,0
109,8,0,0,1,0,0,0,0,0
337,4,0,0,20,14,6,0,0,0
251,7,0,0,3,1,1,0,0,0
558,1,0,0,0,0,0,0,0,0
1067,22,15,0,2,5,1,1,1,0
1303,12,2,0,9,1,5,0,0,3
1931,5,57,10,54,60,8,2,12,7
51,8,0,0,10,5,2,1,0,0
455,30,5,14,86,49,21,0,3,12
343,1,3,0,2,3,0,0,0,0
279,5,0,0,22,12,2,0,0,0
726,11,1,26,29,80,8,0,13,6
902,12,2,24,18,0,1,0,5,14
1043,38,22,0,1,0,1,1,0,0
554,7,0,0,3,3,1,0,0,1
353,62,23,13,34,50,17,2,1,10
478,30,29,42,51,75,26,3,19,27
352,8,0,8,18,19,2,0,4,2
1498,7,176,10,9,327,8,2,2,6
763,14,2,0,2,5,1,0,0,0
430,27,14,1,10,14,3,2,0,1
493,65,68,67,132,182,34,4,27,31
494,31,3,40,70,83,34,0,90,29
516,4,1,0,2,3,3,0,0,0
259,6,2,2,9,17,3,0,0,1
123,0,48,0,3782,889,0,0,0,0
869,32,338,36,71,78,24,1,15,19
588,54,28,12,7,11,6,1,10,6
917,31,23,23,3,5,7,0,1,7
495,46,8,18,32,26,14,3,7,11
459,42,4,13,33,34,17,0,1,10
43,6,0,0,6,10,5,0,0,0
332,14,1,5,4,3,3,2,1,2
415,11,1,2,6,5,3,2,0,2
1075,44,53,21,50,55,10,4,7,10
936,15,11,3,6,13,2,1,22,2
382,18,2,6,30,18,13,0,0,2
947,25,10,18,17,60,16,1,4,15
381,21,9,2,4,5,2,0,0,1
530,12,4,1,42,37,4,2,0,1
665,35,9,0,35,17,5,1,0,0
171,6,4,0,1,6,1,0,0,1
418,7,11,6,3,0,2,1,9,1
12,7,1,113,71,11,3,1,23,36
613,39,7,8,25,30,7,1,34,7
1474,150,7,0,24,24,10,1,0,0
360,20,3,44,33,34,19,0,0,13
385,3,0,1,4,7,4,0,0,1
91,0,0,0,2,1,1,0,0,0
224,55,7,11,64,62,9,1,26,6
1110,50,7,28,30,34,28,0,2,28
263,0,0,0,0,2,0,0,0,0
263,0,0,0,0,2,0,0,0,0
1480,38,71,21,40,15,14,5,0,5
838,9,21,4,11,3,5,0,0,4
613,20,11,0,4,4,2,2,0,0
766,41,22,1,2,4,2,1,0,1
224,11,4,2,19,22,10,0,0,1
420,4,0,0,2,1,0,0,0,0
808,25,62,2,25,19,2,3,0,1
1317,16,23,9,4,15,7,0,0,7
391,12,7,3,9,18,4,1,11,2
596,9,4,43,217,278,39,0,105,32
701,4,1,2,33,23,5,0,0,3
404,18,21,4,7,26,3,2,0,3
605,2,2,0,3,1,0,1,0,0
290,6,1,1,3,2,1,0,0,1
779,30,3,1,3,1,1,0,0,1
767,21,20,36,37,70,18,2,9,17
685,8,7,1,30,50,13,0,13,10
774,103,77,81,116,101,59,1,18,42
89,2,1,0,0,1,0,0,0,0
908,3,0,0,1,2,1,0,0,0
493,11,32,5,17,14,9,1,0,2
1249,82,18,6,13,22,6,2,0,4
803,14,0,0,13,8,5,0,0,1
128,4,0,0,4,2,0,0,0,0
905,19,4,2,15,12,3,1,6,2
622,10,3,2,7,0,2,1,1,1
1446,24,15,0,7,3,1,0,0,0
414,21,5,0,2,4,3,0,0,0
902,44,3,0,8,6,0,2,0,0
541,47,22,2,11,23,2,1,1,2
521,40,12,14,15,63,13,0,2,11
913,4,6,0,0,14,0,0,0,0
730,20,17,1,3,0,2,0,0,1
867,27,24,100,209,268,60,0,53,58
1236,9,3,0,0,4,0,0,0,0
682,88,13,43,63,82,41,0,20,29
1275,50,67,1,1,1,0,2,0,0
618,3,1,0,4,8,2,1,0,0
859,32,4,6,1,10,2,0,3,1
274,8,1,0,2,1,1,0,0,0
1224,35,25,8,11,9,3,0,0,1
764,61,17,3,23,10,6,1,0,2
501,2,1,2,7,9,7,0,0,2
365,31,35,26,182,110,13,0,24,10
587,7,2,1,29,33,7,0,0,2
479,6,4,0,0,4,0,0,0,0
1331,11,7,0,0,11,0,0,0,0
604,82,33,35,57,87,17,1,29,10
572,0,0,0,3,4,0,0,0,0
1247,35,614,350,381,391,171,1,49,161
188,21,0,0,12,5,1,0,0,0
364,50,6,13,12,16,7,2,5,9
490,21,1,0,0,1,0,1,0,0
262,23,0,5,22,16,12,0,6,2
539,36,19,16,64,46,12,1,16,8
463,67,34,2,7,5,3,0,0,2
939,0,0,0,0,4,0,0,0,0
379,21,3,29,79,76,15,0,45,13
610,25,16,2,36,24,7,0,0,2
214,12,1,3,10,8,2,0,1,1
900,1,0,0,2,2,0,0,0,0
1267,13,8,7,12,17,6,1,0,6
887,57,21,0,3,3,1,2,0,0
523,28,142,1,3,7,2,2,0,2
110,5,0,1,5,13,5,0,0,2
34,35,60,930,789,25,9,0,755,206
820,28,10,1,39,38,8,1,4,1
77,14,0,0,6,4,1,0,0,0
0,0,0,0,1,1,0,0,0,0
241,5,0,1,11,9,4,0,0,1
583,16,0,9,7,30,11,0,7,8
520,16,4,5,9,17,4,0,0,4
455,8,9,4,1,13,4,0,0,4
221,3,9,0,6,1,1,1,0,0
794,58,65,5,48,69,20,0,26,17
713,27,164,24,34,29,6,7,15,5
927,35,98,30,13,414,19,3,0,15
287,28,10,3,12,21,3,0,3,3
535,44,36,0,12,8,5,1,0,0
527,13,6,0,2,3,1,0,0,0
694,17,15,4,8,5,5,2,0,4
1392,23,177,13,31,26,10,0,21,6
1013,32,71,72,99,99,21,4,15,19
513,12,0,0,8,4,1,0,0,0
413,4,7,0,7,5,1,0,0,0
1425,67,159,20,142,93,23,7,4,13
90,1,2,0,1,0,0,0,0,0
159,6,0,0,5,5,3,0,0,0
510,38,5,0,0,54,0,0,0,0
499,31,5,0,6,6,3,2,0,0
200,1,2,15,9,13,6,1,2,5
614,4,2,0,11,12,4,1,0,0
642,37,15,13,36,33,7,3,15,4
917,14,3,0,1,2,0,2,0,0
169,14,8,0,4,3,2,2,0,0
163,20,90,0,21,17,5,5,0,0
93,1,0,0,3,4,2,0,0,0
708,27,11,6,6,5,4,0,0,4
516,7,8,0,1,3,3,0,0,0
529,11,13,54,128,173,36,0,58,30
833,15,3,0,0,1,1,0,0,0
1083,81,24,2,1,10,2,0,0,2
368,4,3,0,4,2,1,0,0,0
54,0,1,0,2,4,0,0,0,0
517,6,2,0,0,1,0,0,0,0
1175,21,6,7,9,22,5,0,0,6
8,1,1,0,0,1,0,0,0,0
598,1,0,0,12,11,4,0,0,0
747,37,32,1,8,14,3,0,0,1
12,0,0,0,1,1,1,0,0,0
420,8,2,0,4,7,2,0,0,0
446,6,1,1,0,2,2,0,0,1
925,2,0,0,0,2,2,1,0,0
941,41,20,5,41,47,15,3,6,3
847,4,0,9,20,28,9,0,2,5
480,69,5,0,1,2,1,0,0,0
495,11,4,0,6,9,0,0,0,0
384,22,18,19,25,26,6,0,4,6
535,36,17,33,158,126,29,1,17,29
646,21,9,6,5,11,6,0,0,6
190,15,7,0,3,12,2,0,3,1
6,4,1,0,7,6,1,0,0,0
332,8,1,0,1,2,1,0,0,0
1113,3,1,0,4,6,0,0,0,0
674,30,12,3,3,2,2,0,0,1
719,34,3,7,7,23,5,0,7,5
382,2,1,1,8,18,7,1,0,1
636,28,5,5,19,20,3,0,3,2
343,2,0,0,3,1,2,0,0,0
663,7,1,0,14,16,6,0,0,0
134,13,7,0,1,1,0,1,0,0
49,4,0,0,0,1,0,0,0,0
773,4,0,0,0,1,0,0,0,0
616,22,27,6,12,29,5,2,0,5
174,2,0,0,8,6,0,0,0,0
138,7,0,0,1,3,3,0,0,0
361,7,0,0,10,13,4,0,0,0
270,6,0,2,9,8,2,0,2,1
536,8,4,16,36,33,21,1,1,9
394,6,3,0,2,4,1,0,0,0
19,5,1,0,1,3,2,1,0,0
559,30,6,16,8,21,13,0,7,13
321,9,0,30,3,43,25,1,1,24
228,55,25,0,2,4,1,4,0,0
765,36,40,2,2,2,1,2,0,1
355,35,43,0,2,3,0,0,0,0
78,0,0,0,0,1,1,0,0,0
249,0,0,0,1,2,1,0,0,0
282,21,1,17,11,18,17,0,9,17
765,10,1,0,0,1,0,0,0,0
197,0,0,0,3,11,4,0,0,0
275,23,1,1,2,9,1,0,2,1
280,2,1,0,2,2,1,0,0,0
266,6,6,0,3,1,0,0,0,0
359,3,0,0,1,5,3,0,0,1
1189,22,83,8,2,9,5,3,4,5
181,5,28,3,41,28,7,1,3,2
162,0,0,0,1,2,1,0,0,0
691,3,0,0,2,1,0,0,0,0
577,28,6,1,5,4,1,0,0,1
14,3,0,0,3,4,0,0,0,0
180,59,72,6,10,11,5,2,0,4
542,37,320,87,189,190,41,7,54,35
156,0,3,3,2,17,3,1,0,3
162,5,3,0,0,1,1,0,0,0
119,25,7,13,86,45,11,2,67,4
451,6,4,26,48,63,22,0,8,19
589,3,1,0,9,9,4,0,0,0
38,3,0,0,3,4,0,0,2,0
1036,82,25,0,3,2,1,0,0,0
703,7,14,0,1,1,0,0,0,0
191,1,0,0,3,3,0,0,0,0
4,4,1,0,138,22,20,0,27,15
795,16,4,1,9,8,3,0,0,1
336,3,3,0,11,7,0,0,0,0
