result,newcomer,age,repos,commit_comments,commits,issue_comments,issue_events,issues,pr_comments,prs
0,1,0.0274,1,0,5,48,25,3,32,3
0,1,0.0274,1,0,5,48,25,3,32,3
0,1,0.1014,1,0,0,3,7,0,3,0
0,1,0.1014,1,0,0,3,7,0,3,0
0,1,0.0,0,0,0,0,0,0,0,0
0,1,0.0082,1,0,0,1,1,0,0,0
1,1,2.0877,2,129,4980,1821,7245,19,346,16
0,1,0.0082,1,0,0,1,1,0,0,0
